batting_team,bowling_team,venue,target,current_score,wickets,overs,run_rate,req_run_rate,result
Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",191,118,7,15,7.866666666666666,14.6,0
Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",142,132,4,15,8.8,2.0,1
Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,204,159,2,15,10.6,9.0,1
Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,165,97,9,15,6.466666666666667,13.6,0
Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,219,120,8,15,8.0,19.8,0
Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,186,156,4,15,10.4,6.0,1
Kings XI Punjab,Deccan Chargers,Barabati Stadium,171,104,6,15,6.933333333333334,13.4,0
Kolkata Knight Riders,Rajasthan Royals,"Sardar Patel Stadium, Motera",169,109,3,15,7.266666666666667,12.0,0
Royal Challengers Bangalore,Mumbai Indians,Brabourne Stadium,152,132,2,15,8.8,4.0,1
Delhi Daredevils,Deccan Chargers,Barabati Stadium,172,131,4,15,8.733333333333333,8.2,0
Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",137,112,4,15,7.466666666666667,5.0,0
Mumbai Indians,Kolkata Knight Riders,Brabourne Stadium,156,129,3,15,8.6,5.4,1
Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,172,107,6,15,7.133333333333334,13.0,0
Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",184,134,6,15,8.933333333333334,10.0,0
Mumbai Indians,Chennai Super Kings,"Brabourne Stadium, Mumbai",181,152,3,15,10.133333333333333,5.8,1
Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,184,126,6,15,8.4,11.6,0
Rajasthan Royals,Deccan Chargers,"Sardar Patel Stadium, Motera",149,151,2,15,10.066666666666666,-0.4,1
Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",184,111,5,15,7.4,14.6,0
Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",178,125,4,15,8.333333333333334,10.6,0
Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,173,129,7,15,8.6,8.8,0
Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,178,108,6,15,7.2,14.0,0
Mumbai Indians,Kings XI Punjab,Brabourne Stadium,164,123,4,15,8.2,8.2,1
Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",162,136,2,15,9.066666666666666,5.2,1
Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,189,111,8,15,7.4,15.6,0
Deccan Chargers,Kolkata Knight Riders,Eden Gardens,182,128,4,15,8.533333333333333,10.8,0
Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",182,134,3,15,8.933333333333334,9.6,1
Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",247,183,3,15,12.2,12.8,0
Deccan Chargers,Mumbai Indians,Brabourne Stadium,179,108,7,15,7.2,14.2,0
Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,201,169,2,15,11.266666666666667,6.4,1
Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,185,119,5,15,7.933333333333334,13.2,0
Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",160,122,5,15,8.133333333333333,7.6,0
Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",166,103,7,15,6.866666666666666,12.6,0
Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,154,157,1,15,10.466666666666667,-0.6,1
Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,182,142,4,15,9.466666666666667,8.0,0
Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,185,136,3,15,9.066666666666666,9.8,1
Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",155,123,2,15,8.2,6.4,1
Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",139,107,3,15,7.133333333333334,6.4,1
Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,161,137,3,15,9.133333333333333,4.8,1
Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,112,95,2,15,6.333333333333333,3.4,1
Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,175,91,7,15,6.066666666666666,16.8,0
Royal Challengers Bangalore,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",152,109,5,15,7.266666666666667,8.6,0
Delhi Daredevils,Mumbai Indians,Brabourne Stadium,184,113,6,15,7.533333333333333,14.2,0
Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,131,132,5,15,8.8,-0.2,1
Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",113,90,4,15,6.0,4.6,1
Deccan Chargers,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,175,140,4,15,9.333333333333334,7.0,1
Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,192,107,7,15,7.133333333333334,17.0,0
Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,133,132,2,15,8.8,0.2,1
Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,193,141,3,15,9.4,10.4,1
Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,146,99,7,15,6.6,9.4,0
Kolkata Knight Riders,Mumbai Indians,Eden Gardens,134,118,1,15,7.866666666666666,3.2,1
Royal Challengers Bangalore,Mumbai Indians,Dr DY Patil Sports Academy,185,123,7,15,8.2,12.4,0
Deccan Chargers,Chennai Super Kings,Dr DY Patil Sports Academy,143,84,6,15,5.6,11.8,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,169,109,5,15,7.266666666666667,12.0,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",154,118,3,15,7.866666666666666,7.2,0
